Ignatius Azevedo;1500;Jesuit Missionary and Martyr;mw127084.jpg
Martin Heton;1500;Bishop of Ely;mw128854.jpg
Rudolf II, Holy Roman Emperor;1500;Holy Roman Emperor;mw127764.jpg
Sir Nicholas Poyntz;1500;Courtier and Sheriff of Gloucestershire;mw07809.jpg
Thomas Sackville, 1st Earl of Dorset;1500;Poet and Lord Treasurer;mw01914.jpg
Louise of Savoy;1500;Mother of Francis I of France;mw124755.jpg
John Bourchier, 2nd Baron Berners;1500;Statesman and writer;mw00537.jpg
Thomas Boleyn, Earl of Wiltshire and Ormond;1500;Father of Anne Boleyn;mw124753 (2).jpg
Lord Edward Russell;1500;Eldest son of 2nd Earl of Bedford;mw05527.jpg
Elizabeth Russell (née Cooke), Lady Russell;1500;Courtier;mw133715.jpg
Sir Richard Grenville;1500;Naval commander;mw02735.jpg
Peter Bertius;1500;Theologian;mw127982.jpg
Sir Thomas Smith;1500;Scholar, diplomat and political theorist;mw126785 (2).jpg
William Paulet, 1st Marquess of Winchester;1500;Statesman;mw06858.jpg
Janus Dousa (Johan van der Does);1500;Dutch statesman, historian, poet and philologist;mw128003.jpg
Arthur Grey, 14th Baron Grey of Wilton;1500;Lord Deputy of Ireland and soldier;mw126837 (1).jpg
Arthur Hildersham;1500;Puritan divine;mw03133.jpg
Pope Clement VII (Giulio de' Medici);1500;Pope 1523-34;mw118977.jpg
Anne (née Hopton), Lady Pope;1500;Former wife of 3rd Baron Wentworth, and later wife of1st Earl of Downe;mw69849.jpg
Ignatius Loyola;1500;Founder of the Jesuits;mw125460.jpg
Philipp Melanchthon;1500;German protestant reformer;mw280085.jpg
Margaret Clements (née Giggs);1500;Adopted daughter of Sir Thomas More;mw125160.jpg
Robert Winter;1500;Gunpowder plot conspirator;mw00381 (4).jpg
Thomas Winter;1500;Conspirator, brother of Robert Winter;mw00381 (5).jpg
Sir Francis Drake;1500;Admiral and circumnavigator;mw01931.jpg
Theodorus Beza (de Bèze);1500;French reformer;mw125435 (4).jpg
Michael Drayton;1500;Poet;mw01936.jpg
Antonio Priuli;1500;Doge of Venice, 1618-1623;mw121378.jpg
Sir William Ryder;1500;Lord Mayor of London;mw127417.jpg
John Lumley, 5th (or 6th) Baron Lumley;1500;A leader in the Pilgrimage of Grace;mw04036.jpg
Gerardus Mercator;1500;Flemish geographer, mathematician and cartographer;mw90833.jpg
Katharina Luther (née von Bora);1500;Nun, Wife of Martin Luther;mw272119.jpg
Martin Luther;1500;German religious reformer;mw272116.jpg
John Somerville (Somervile);1500;Traitor;mw91230.jpg
Sir William Drury;1500;Soldier;mw01948.jpg
Sir Richard Bingham;1500;Soldier and Governor of Connaught;mw00567.jpg
Guillaume de Sallus, seigneur du Bartas;1500;Poet, soldier and agent for Henry IV, King of France;mw127951.jpg
Paul Merula;1500;Lawyer and professor of History;mw128000.jpg
Jan Gruter (Janus Gruterus);1500;Dutch scholar;mw128027.jpg
Simon Grynaeus;1500;Scholar, theologian of the Reformation;mw125423.jpg
Amy Dudley (née Robsart), Lady Dudley;1500;Gentlewoman;mw119694.jpg
